Pickup Punkte;Tour;Aufnahmedatum der Tour;geo_point_2d
"{""coordinates"": [9.32552631649531, 47.4073296730119], ""type"": ""Point""}";Tour 101;2016-02-29;47.4073296730119, 9.32552631649531
"{""coordinates"": [9.32459156659792, 47.4016326607247], ""type"": ""Point""}";Tour 101;2016-02-29;47.4016326607247, 9.32459156659792
"{""coordinates"": [9.31718598706638, 47.4062205795181], ""type"": ""Point""}";Tour 101;2016-02-29;47.4062205795181, 9.31718598706638
"{""coordinates"": [9.31321765859232, 47.4049666467289], ""type"": ""Point""}";Tour 101;2016-02-29;47.4049666467289, 9.31321765859232
"{""coordinates"": [9.31299503523081, 47.4049304369051], ""type"": ""Point""}";Tour 101;2016-02-29;47.4049304369051, 9.31299503523081
"{""coordinates"": [9.3125618584491, 47.4056599978006], ""type"": ""Point""}";Tour 101;2016-02-29;47.4056599978006, 9.3125618584491
"{""coordinates"": [9.32212661636629, 47.4103820270527], ""type"": ""Point""}";Tour 101;2016-02-29;47.4103820270527, 9.32212661636629
"{""coordinates"": [9.30637534298751, 47.4038240256205], ""type"": ""Point""}";Tour 101;2016-02-29;47.4038240256205, 9.30637534298751
"{""coordinates"": [9.30930967982468, 47.4036939384755], ""type"": ""Point""}";Tour 101;2016-02-29;47.4036939384755, 9.30930967982468
"{""coordinates"": [9.30421348239264, 47.4053488615363], ""type"": ""Point""}";Tour 101;2016-02-29;47.4053488615363, 9.30421348239264
"{""coordinates"": [9.31040402116798, 47.4134129234203], ""type"": ""Point""}";Tour 101;2016-02-29;47.4134129234203, 9.31040402116798
"{""coordinates"": [9.31211795283068, 47.4130307086128], ""type"": ""Point""}";Tour 101;2016-02-29;47.4130307086128, 9.31211795283068
"{""coordinates"": [9.31793432342616, 47.4075321798046], ""type"": ""Point""}";Tour 101;2016-02-29;47.4075321798046, 9.31793432342616
"{""coordinates"": [9.31858878246479, 47.4075831417789], ""type"": ""Point""}";Tour 101;2016-02-29;47.4075831417789, 9.31858878246479
"{""coordinates"": [9.303259957031, 47.4041794183361], ""type"": ""Point""}";Tour 101;2016-02-29;47.4041794183361, 9.303259957031
"{""coordinates"": [9.30435295726971, 47.4043296220499], ""type"": ""Point""}";Tour 101;2016-02-29;47.4043296220499, 9.30435295726971
"{""coordinates"": [9.30326398034478, 47.4027846695652], ""type"": ""Point""}";Tour 101;2016-02-29;47.4027846695652, 9.30326398034478
"{""coordinates"": [9.30045302512963, 47.4037073495214], ""type"": ""Point""}";Tour 101;2016-02-29;47.4037073495214, 9.30045302512963
"{""coordinates"": [9.30343430062737, 47.4017667711834], ""type"": ""Point""}";Tour 101;2016-02-29;47.4017667711834, 9.30343430062737
"{""coordinates"": [9.30018748642132, 47.4029831530442], ""type"": ""Point""}";Tour 101;2016-02-29;47.4029831530442, 9.30018748642132
"{""coordinates"": [9.29879005544126, 47.4025915505047], ""type"": ""Point""}";Tour 101;2016-02-29;47.4025915505047, 9.29879005544126
"{""coordinates"": [9.29741676434378, 47.402213359011], ""type"": ""Point""}";Tour 101;2016-02-29;47.402213359011, 9.29741676434378
"{""coordinates"": [9.29782714234753, 47.4005436837997], ""type"": ""Point""}";Tour 101;2016-02-29;47.4005436837997, 9.29782714234753
"{""coordinates"": [9.30080841784527, 47.4009674728493], ""type"": ""Point""}";Tour 101;2016-02-29;47.4009674728493, 9.30080841784527
"{""coordinates"": [9.30120538480313, 47.4017989576935], ""type"": ""Point""}";Tour 101;2016-02-29;47.4017989576935, 9.30120538480313
"{""coordinates"": [9.30134485968023, 47.4021422804679], ""type"": ""Point""}";Tour 101;2016-02-29;47.4021422804679, 9.30134485968023
"{""coordinates"": [9.30065419081774, 47.4024426878954], ""type"": ""Point""}";Tour 101;2016-02-29;47.4024426878954, 9.30065419081774
"{""coordinates"": [9.30218841446569, 47.4011471808641], ""type"": ""Point""}";Tour 101;2016-02-29;47.4011471808641, 9.30218841446569
"{""coordinates"": [9.30128719218297, 47.4019947589633], ""type"": ""Point""}";Tour 101;2016-02-29;47.4019947589633, 9.30128719218297
"{""coordinates"": [9.33250944808182, 47.4107360786638], ""type"": ""Point""}";Tour 102;2016-03-14;47.4107360786638, 9.33250944808182
"{""coordinates"": [9.33294664817731, 47.4108996934235], ""type"": ""Point""}";Tour 102;2016-03-14;47.4108996934235, 9.33294664817731
"{""coordinates"": [9.33366011581779, 47.4111384100401], ""type"": ""Point""}";Tour 102;2016-03-14;47.4111384100401, 9.33366011581779
"{""coordinates"": [9.33545853706948, 47.4116788751888], ""type"": ""Point""}";Tour 102;2016-03-14;47.4116788751888, 9.33545853706948
"{""coordinates"": [9.33676477293758, 47.4110700137061], ""type"": ""Point""}";Tour 102;2016-03-14;47.4110700137061, 9.33676477293758
"{""coordinates"": [9.33667894224399, 47.4114535696181], ""type"": ""Point""}";Tour 102;2016-03-14;47.4114535696181, 9.33667894224399
"{""coordinates"": [9.3371885619872, 47.4125599809027], ""type"": ""Point""}";Tour 102;2016-03-14;47.4125599809027, 9.3371885619872
"{""coordinates"": [9.3484229951157, 47.4164867351345], ""type"": ""Point""}";Tour 102;2016-03-14;47.4164867351345, 9.3484229951157
"{""coordinates"": [9.35080747907207, 47.4176387439751], ""type"": ""Point""}";Tour 102;2016-03-14;47.4176387439751, 9.35080747907207
"{""coordinates"": [9.35248922422463, 47.4184648644009], ""type"": ""Point""}";Tour 102;2016-03-14;47.4184648644009, 9.35248922422463
"{""coordinates"": [9.35258980706868, 47.4184635232963], ""type"": ""Point""}";Tour 102;2016-03-14;47.4184635232963, 9.35258980706868
"{""coordinates"": [9.35611557102891, 47.4202136647829], ""type"": ""Point""}";Tour 102;2016-03-14;47.4202136647829, 9.35611557102891
"{""coordinates"": [9.360720924182, 47.4213817668785], ""type"": ""Point""}";Tour 102;2016-03-14;47.4213817668785, 9.360720924182
"{""coordinates"": [9.36065923337097, 47.4186848055533], ""type"": ""Point""}";Tour 102;2016-03-14;47.4186848055533, 9.36065923337097
"{""coordinates"": [9.36011608601308, 47.4174456249145], ""type"": ""Point""}";Tour 102;2016-03-14;47.4174456249145, 9.36011608601308
"{""coordinates"": [9.35899224036885, 47.4173839341035], ""type"": ""Point""}";Tour 102;2016-03-14;47.4173839341035, 9.35899224036885
"{""coordinates"": [9.35790460454848, 47.4172726224227], ""type"": ""Point""}";Tour 102;2016-03-14;47.4172726224227, 9.35790460454848
"{""coordinates"": [9.3567566190217, 47.4169963548777], ""type"": ""Point""}";Tour 102;2016-03-14;47.4169963548777, 9.3567566190217
"{""coordinates"": [9.35436811175157, 47.4161648700336], ""type"": ""Point""}";Tour 102;2016-03-14;47.4161648700336, 9.35436811175157
"{""coordinates"": [9.35304041821004, 47.4166101167566], ""type"": ""Point""}";Tour 102;2016-03-14;47.4166101167566, 9.35304041821004
"{""coordinates"": [9.35251738742099, 47.4178010176302], ""type"": ""Point""}";Tour 102;2016-03-14;47.4178010176302, 9.35251738742099
"{""coordinates"": [9.35380753003403, 47.418604339278], ""type"": ""Point""}";Tour 102;2016-03-14;47.418604339278, 9.35380753003403
"{""coordinates"": [9.35167115042634, 47.4179579268669], ""type"": ""Point""}";Tour 102;2016-03-14;47.4179579268669, 9.35167115042634
"{""coordinates"": [9.35475434987274, 47.4168273756997], ""type"": ""Point""}";Tour 102;2016-03-14;47.4168273756997, 9.35475434987274
"{""coordinates"": [9.35386117421754, 47.4172444592264], ""type"": ""Point""}";Tour 102;2016-03-14;47.4172444592264, 9.35386117421754
"{""coordinates"": [9.35451831546536, 47.4170741389438], ""type"": ""Point""}";Tour 102;2016-03-14;47.4170741389438, 9.35451831546536
"{""coordinates"": [9.35709725958688, 47.4169360051713], ""type"": ""Point""}";Tour 102;2016-03-14;47.4169360051713, 9.35709725958688
"{""coordinates"": [9.36039503576725, 47.4155640551784], ""type"": ""Point""}";Tour 102;2016-03-14;47.4155640551784, 9.36039503576725
"{""coordinates"": [9.36108436352518, 47.4180464397697], ""type"": ""Point""}";Tour 102;2016-03-14;47.4180464397697, 9.36108436352518
"{""coordinates"": [9.36095159417101, 47.4181564103458], ""type"": ""Point""}";Tour 102;2016-03-14;47.4181564103458, 9.36095159417101
"{""coordinates"": [9.36197888028497, 47.419072384779], ""type"": ""Point""}";Tour 102;2016-03-14;47.419072384779, 9.36197888028497
"{""coordinates"": [9.36260919944104, 47.4189396154248], ""type"": ""Point""}";Tour 102;2016-03-14;47.4189396154248, 9.36260919944104
"{""coordinates"": [9.36482738642854, 47.42009296537], ""type"": ""Point""}";Tour 102;2016-03-14;47.42009296537, 9.36482738642854
"{""coordinates"": [9.36381485246508, 47.4201922071095], ""type"": ""Point""}";Tour 102;2016-03-14;47.4201922071095, 9.36381485246508
"{""coordinates"": [9.36429765011655, 47.4209861410252], ""type"": ""Point""}";Tour 102;2016-03-14;47.4209861410252, 9.36429765011655
"{""coordinates"": [9.36275672094564, 47.4184380423092], ""type"": ""Point""}";Tour 102;2016-03-14;47.4184380423092, 9.36275672094564
"{""coordinates"": [9.36172407041335, 47.4177044580999], ""type"": ""Point""}";Tour 102;2016-03-14;47.4177044580999, 9.36172407041335
"{""coordinates"": [9.36100255614534, 47.4173839341035], ""type"": ""Point""}";Tour 102;2016-03-14;47.4173839341035, 9.36100255614534
"{""coordinates"": [9.35708921295935, 47.4161849866024], ""type"": ""Point""}";Tour 102;2016-03-14;47.4161849866024, 9.35708921295935
"{""coordinates"": [9.35676734785838, 47.4159985730647], ""type"": ""Point""}";Tour 102;2016-03-14;47.4159985730647, 9.35676734785838
"{""coordinates"": [9.35675259570792, 47.4163472602574], ""type"": ""Point""}";Tour 102;2016-03-14;47.4163472602574, 9.35675259570792
"{""coordinates"": [9.35186426948692, 47.4147580513214], ""type"": ""Point""}";Tour 102;2016-03-14;47.4147580513214, 9.35186426948692
"{""coordinates"": [9.34259857789269, 47.4113221413685], ""type"": ""Point""}";Tour 102;2016-03-14;47.4113221413685, 9.34259857789269
"{""coordinates"": [9.34143986352919, 47.4112886137538], ""type"": ""Point""}";Tour 102;2016-03-14;47.4112886137538, 9.34143986352919
"{""coordinates"": [9.34104691988509, 47.4110726959153], ""type"": ""Point""}";Tour 102;2016-03-14;47.4110726959153, 9.34104691988509
"{""coordinates"": [9.33748092278725, 47.4099032527151], ""type"": ""Point""}";Tour 102;2016-03-14;47.4099032527151, 9.33748092278725
"{""coordinates"": [9.33718319756883, 47.4098294919628], ""type"": ""Point""}";Tour 102;2016-03-14;47.4098294919628, 9.33718319756883
"{""coordinates"": [9.33513130755014, 47.4105550295445], ""type"": ""Point""}";Tour 102;2016-03-14;47.4105550295445, 9.33513130755014
"{""coordinates"": [9.33349247774436, 47.4104517644913], ""type"": ""Point""}";Tour 102;2016-03-14;47.4104517644913, 9.33349247774436
"{""coordinates"": [9.33270122603781, 47.410254622117], ""type"": ""Point""}";Tour 102;2016-03-14;47.410254622117, 9.33270122603781
"{""coordinates"": [9.3338626226105, 47.4082966094194], ""type"": ""Point""}";Tour 102;2016-03-14;47.4082966094194, 9.3338626226105
"{""coordinates"": [9.33192070316795, 47.4077574853752], ""type"": ""Point""}";Tour 102;2016-03-14;47.4077574853752, 9.33192070316795
"{""coordinates"": [9.3318831522395, 47.4077749197349], ""type"": ""Point""}";Tour 102;2016-03-14;47.4077749197349, 9.3318831522395
"{""coordinates"": [9.33093499129623, 47.4076019172431], ""type"": ""Point""}";Tour 102;2016-03-14;47.4076019172431, 9.33093499129623
"{""coordinates"": [9.33087330048522, 47.4075590018963], ""type"": ""Point""}";Tour 102;2016-03-14;47.4075590018963, 9.33087330048522
"{""coordinates"": [9.33119650669076, 47.4088759666011], ""type"": ""Point""}";Tour 102;2016-03-14;47.4088759666011, 9.33119650669076
"{""coordinates"": [9.33451439943997, 47.4091978317021], ""type"": ""Point""}";Tour 102;2016-03-14;47.4091978317021, 9.33451439943997
"{""coordinates"": [9.33477859704368, 47.4087727015479], ""type"": ""Point""}";Tour 102;2016-03-14;47.4087727015479, 9.33477859704368
"{""coordinates"": [9.3345425626363, 47.4095867520325], ""type"": ""Point""}";Tour 102;2016-03-14;47.4095867520325, 9.3345425626363
"{""coordinates"": [9.33430116381055, 47.4094673937242], ""type"": ""Point""}";Tour 102;2016-03-14;47.4094673937242, 9.33430116381055
"{""coordinates"": [9.34025700928314, 47.4111732787593], ""type"": ""Point""}";Tour 102;2016-03-14;47.4111732787593, 9.34025700928314
"{""coordinates"": [9.3427997435808, 47.4119993991851], ""type"": ""Point""}";Tour 102;2016-03-14;47.4119993991851, 9.3427997435808
"{""coordinates"": [9.3452351895115, 47.4127276189761], ""type"": ""Point""}";Tour 102;2016-03-14;47.4127276189761, 9.3452351895115
"{""coordinates"": [9.35806821930814, 47.4178586851274], ""type"": ""Point""}";Tour 102;2016-03-14;47.4178586851274, 9.35806821930814
"{""coordinates"": [9.35614373422527, 47.4194090020304], ""type"": ""Point""}";Tour 102;2016-03-14;47.4194090020304, 9.35614373422527
"{""coordinates"": [9.35602035260322, 47.4196289431828], ""type"": ""Point""}";Tour 102;2016-03-14;47.4196289431828, 9.35602035260322
"{""coordinates"": [9.34803943920372, 47.4168059180263], ""type"": ""Point""}";Tour 103;2016-02-29;47.4168059180263, 9.34803943920372
"{""coordinates"": [9.34785034345688, 47.4170325647016], ""type"": ""Point""}";Tour 103;2016-02-29;47.4170325647016, 9.34785034345688
"{""coordinates"": [9.34829290797072, 47.4172350714943], ""type"": ""Point""}";Tour 103;2016-02-29;47.4172350714943, 9.34829290797072
"{""coordinates"": [9.34844847610285, 47.4173356543383], ""type"": ""Point""}";Tour 103;2016-02-29;47.4173356543383, 9.34844847610285
"{""coordinates"": [9.34927325542409, 47.4177326212962], ""type"": ""Point""}";Tour 103;2016-02-29;47.4177326212962, 9.34927325542409
"{""coordinates"": [9.34561606321429, 47.4180585097109], ""type"": ""Point""}";Tour 103;2016-02-29;47.4180585097109, 9.34561606321429
"{""coordinates"": [9.35214590145026, 47.4198341321846], ""type"": ""Point""}";Tour 103;2016-02-29;47.4198341321846, 9.35214590145026
"{""coordinates"": [9.35002695620221, 47.4173115144558], ""type"": ""Point""}";Tour 103;2016-02-29;47.4173115144558, 9.35002695620221
"{""coordinates"": [9.34917669589382, 47.4169319818575], ""type"": ""Point""}";Tour 103;2016-02-29;47.4169319818575, 9.34917669589382
"{""coordinates"": [9.35309406239355, 47.4190629970469], ""type"": ""Point""}";Tour 103;2016-02-29;47.4190629970469, 9.35309406239355
"{""coordinates"": [9.35230281068701, 47.418711627645], ""type"": ""Point""}";Tour 103;2016-02-29;47.418711627645, 9.35230281068701
"{""coordinates"": [9.35202654314199, 47.4188698779863], ""type"": ""Point""}";Tour 103;2016-02-29;47.4188698779863, 9.35202654314199
"{""coordinates"": [9.35167249153093, 47.4188108693845], ""type"": ""Point""}";Tour 103;2016-02-29;47.4188108693845, 9.35167249153093
"{""coordinates"": [9.352579078232, 47.4194183897625], ""type"": ""Point""}";Tour 103;2016-02-29;47.4194183897625, 9.352579078232
"{""coordinates"": [9.35194875907592, 47.4191005479753], ""type"": ""Point""}";Tour 103;2016-02-29;47.4191005479753, 9.35194875907592
"{""coordinates"": [9.34964205918564, 47.4213495803684], ""type"": ""Point""}";Tour 103;2016-02-29;47.4213495803684, 9.34964205918564
"{""coordinates"": [9.35222502662091, 47.4220979167281], ""type"": ""Point""}";Tour 103;2016-02-29;47.4220979167281, 9.35222502662091
"{""coordinates"": [9.35353260359364, 47.4226236297264], ""type"": ""Point""}";Tour 103;2016-02-29;47.4226236297264, 9.35353260359364
"{""coordinates"": [9.35402747118636, 47.4227537168714], ""type"": ""Point""}";Tour 103;2016-02-29;47.4227537168714, 9.35402747118636
"{""coordinates"": [9.3566922460015, 47.421006257594], ""type"": ""Point""}";Tour 103;2016-02-29;47.421006257594, 9.3566922460015
"{""coordinates"": [9.35221295667964, 47.4212945950803], ""type"": ""Point""}";Tour 103;2016-02-29;47.4212945950803, 9.35221295667964
"{""coordinates"": [9.35402344787261, 47.4217358184895], ""type"": ""Point""}";Tour 103;2016-02-29;47.4217358184895, 9.35402344787261
"{""coordinates"": [9.35413341844878, 47.4219182087134], ""type"": ""Point""}";Tour 103;2016-02-29;47.4219182087134, 9.35413341844878
"{""coordinates"": [9.35596134400137, 47.4212610674656], ""type"": ""Point""}";Tour 103;2016-02-29;47.4212610674656, 9.35596134400137
"{""coordinates"": [9.35474362103602, 47.4205864918582], ""type"": ""Point""}";Tour 103;2016-02-29;47.4205864918582, 9.35474362103602
"{""coordinates"": [9.34424143101225, 47.4160253951565], ""type"": ""Point""}";Tour 103;2016-02-29;47.4160253951565, 9.34424143101225
"{""coordinates"": [9.33758150563131, 47.4146400341177], ""type"": ""Point""}";Tour 103;2016-02-29;47.4146400341177, 9.33758150563131
"{""coordinates"": [9.33757882342212, 47.4175475488632], ""type"": ""Point""}";Tour 103;2016-02-29;47.4175475488632, 9.33757882342212
"{""coordinates"": [9.34600364244005, 47.4211940122362], ""type"": ""Point""}";Tour 103;2016-02-29;47.4211940122362, 9.34600364244005
"{""coordinates"": [9.34686865489891, 47.4202485335021], ""type"": ""Point""}";Tour 103;2016-02-29;47.4202485335021, 9.34686865489891
"{""coordinates"": [9.34805687356334, 47.4215936614033], ""type"": ""Point""}";Tour 103;2016-02-29;47.4215936614033, 9.34805687356334
"{""coordinates"": [9.34679087083285, 47.4224439217117], ""type"": ""Point""}";Tour 103;2016-02-29;47.4224439217117, 9.34679087083285
"{""coordinates"": [9.33943491217107, 47.4238024606587], ""type"": ""Point""}";Tour 103;2016-02-29;47.4238024606587, 9.33943491217107
"{""coordinates"": [9.33539148184011, 47.4130548484954], ""type"": ""Point""}";Tour 103;2016-02-29;47.4130548484954, 9.33539148184011
"{""coordinates"": [9.3352654180089, 47.4125693686348], ""type"": ""Point""}";Tour 103;2016-02-29;47.4125693686348, 9.3352654180089
"{""coordinates"": [9.33435346688947, 47.4118760175631], ""type"": ""Point""}";Tour 103;2016-02-29;47.4118760175631, 9.33435346688947
"{""coordinates"": [9.33411340916834, 47.4121844716182], ""type"": ""Point""}";Tour 103;2016-02-29;47.4121844716182, 9.33411340916834
"{""coordinates"": [9.33119114227242, 47.4117499537319], ""type"": ""Point""}";Tour 103;2016-02-29;47.4117499537319, 9.33119114227242
"{""coordinates"": [9.33176915834957, 47.4104611522234], ""type"": ""Point""}";Tour 103;2016-02-29;47.4104611522234, 9.33176915834957
"{""coordinates"": [9.33128233738435, 47.4100601619518], ""type"": ""Point""}";Tour 103;2016-02-29;47.4100601619518, 9.33128233738435
"{""coordinates"": [9.33116968459902, 47.4099354392252], ""type"": ""Point""}";Tour 103;2016-02-29;47.4099354392252, 9.33116968459902
"{""coordinates"": [9.32977359472355, 47.4084763174341], ""type"": ""Point""}";Tour 103;2016-02-29;47.4084763174341, 9.32977359472355
"{""coordinates"": [9.32918082649593, 47.4080873971037], ""type"": ""Point""}";Tour 103;2016-02-29;47.4080873971037, 9.32918082649593
"{""coordinates"": [9.32748701140207, 47.4079050068799], ""type"": ""Point""}";Tour 103;2016-02-29;47.4079050068799, 9.32748701140207
"{""coordinates"": [9.37840338816662, 47.4330748577759], ""type"": ""Point""}";Tour 201;2016-03-08;47.4330748577759, 9.37840338816662
"{""coordinates"": [9.37843557467673, 47.4337561389063], ""type"": ""Point""}";Tour 201;2016-03-08;47.4337561389063, 9.37843557467673
"{""coordinates"": [9.37895189994288, 47.4353359601102], ""type"": ""Point""}";Tour 201;2016-03-08;47.4353359601102, 9.37895189994288
"{""coordinates"": [9.37923219080164, 47.4356819650937], ""type"": ""Point""}";Tour 201;2016-03-08;47.4356819650937, 9.37923219080164
"{""coordinates"": [9.37981288908796, 47.436506744415], ""type"": ""Point""}";Tour 201;2016-03-08;47.436506744415, 9.37981288908796
"{""coordinates"": [9.38027422906603, 47.4372832439711], ""type"": ""Point""}";Tour 201;2016-03-08;47.4372832439711, 9.38027422906603
"{""coordinates"": [9.38108827955057, 47.4384969436227], ""type"": ""Point""}";Tour 201;2016-03-08;47.4384969436227, 9.38108827955057
"{""coordinates"": [9.38132699616713, 47.4387611412264], ""type"": ""Point""}";Tour 201;2016-03-08;47.4387611412264, 9.38132699616713
"{""coordinates"": [9.38137125261849, 47.438924755986], ""type"": ""Point""}";Tour 201;2016-03-08;47.438924755986, 9.38137125261849
"{""coordinates"": [9.38185136806078, 47.4397294187384], ""type"": ""Point""}";Tour 201;2016-03-08;47.4397294187384, 9.38185136806078
"{""coordinates"": [9.38119825012674, 47.4397817218174], ""type"": ""Point""}";Tour 201;2016-03-08;47.4397817218174, 9.38119825012674
"{""coordinates"": [9.37926035399798, 47.4382407926465], ""type"": ""Point""}";Tour 201;2016-03-08;47.4382407926465, 9.37926035399798
"{""coordinates"": [9.37919195766401, 47.4378746710941], ""type"": ""Point""}";Tour 201;2016-03-08;47.4378746710941, 9.37919195766401
"{""coordinates"": [9.37914099568968, 47.4374723397179], ""type"": ""Point""}";Tour 201;2016-03-08;47.4374723397179, 9.37914099568968
"{""coordinates"": [9.37864881030612, 47.4363256952957], ""type"": ""Point""}";Tour 201;2016-03-08;47.4363256952957, 9.37864881030612
"{""coordinates"": [9.37822770346568, 47.4330922921355], ""type"": ""Point""}";Tour 201;2016-03-08;47.4330922921355, 9.37822770346568
"{""coordinates"": [9.37887679808597, 47.432892467552], ""type"": ""Point""}";Tour 201;2016-03-08;47.432892467552, 9.37887679808597
"{""coordinates"": [9.37965061543289, 47.4334852357796], ""type"": ""Point""}";Tour 201;2016-03-08;47.4334852357796, 9.37965061543289
"{""coordinates"": [9.377472661583, 47.4309706646783], ""type"": ""Point""}";Tour 201;2016-03-08;47.4309706646783, 9.377472661583
"{""coordinates"": [9.37512304634589, 47.4285258310155], ""type"": ""Point""}";Tour 201;2016-03-08;47.4285258310155, 9.37512304634589
"{""coordinates"": [9.37468316404124, 47.4278633253493], ""type"": ""Point""}";Tour 201;2016-03-08;47.4278633253493, 9.37468316404124
"{""coordinates"": [9.3765258417443, 47.428940232333], ""type"": ""Point""}";Tour 201;2016-03-08;47.428940232333, 9.3765258417443
"{""coordinates"": [9.37736939652976, 47.4301820951809], ""type"": ""Point""}";Tour 201;2016-03-08;47.4301820951809, 9.37736939652976
"{""coordinates"": [9.38020985604584, 47.4321307201463], ""type"": ""Point""}";Tour 201;2016-03-08;47.4321307201463, 9.38020985604584
"{""coordinates"": [9.38039895179264, 47.4323345680436], ""type"": ""Point""}";Tour 201;2016-03-08;47.4323345680436, 9.38039895179264
"{""coordinates"": [9.38044320824403, 47.4324110110051], ""type"": ""Point""}";Tour 201;2016-03-08;47.4324110110051, 9.38044320824403
"{""coordinates"": [9.38037883522384, 47.4314668733756], ""type"": ""Point""}";Tour 201;2016-03-08;47.4314668733756, 9.38037883522384
"{""coordinates"": [9.38261847988477, 47.4332384725355], ""type"": ""Point""}";Tour 201;2016-03-08;47.4332384725355, 9.38261847988477
"{""coordinates"": [9.38455771711813, 47.4356457552699], ""type"": ""Point""}";Tour 201;2016-03-08;47.4356457552699, 9.38455771711813
"{""coordinates"": [9.38382145069966, 47.4359743258938], ""type"": ""Point""}";Tour 201;2016-03-08;47.4359743258938, 9.38382145069966
"{""coordinates"": [9.38213165891955, 47.4340847095302], ""type"": ""Point""}";Tour 201;2016-03-08;47.4340847095302, 9.38213165891955
"{""coordinates"": [9.38453357723554, 47.4350100716954], ""type"": ""Point""}";Tour 201;2016-03-08;47.4350100716954, 9.38453357723554
"{""coordinates"": [9.38341107269591, 47.4365013799966], ""type"": ""Point""}";Tour 201;2016-03-08;47.4365013799966, 9.38341107269591
"{""coordinates"": [9.38259836331596, 47.4352420827891], ""type"": ""Point""}";Tour 201;2016-03-08;47.4352420827891, 9.38259836331596
"{""coordinates"": [9.38209142578194, 47.4346694311303], ""type"": ""Point""}";Tour 201;2016-03-08;47.4346694311303, 9.38209142578194
"{""coordinates"": [9.38196536195071, 47.4344468077688], ""type"": ""Point""}";Tour 201;2016-03-08;47.4344468077688, 9.38196536195071
"{""coordinates"": [9.38060548189912, 47.4329970737098], ""type"": ""Point""}";Tour 201;2016-03-08;47.4329970737098, 9.38060548189912
"{""coordinates"": [9.38100647217072, 47.4329917092914], ""type"": ""Point""}";Tour 201;2016-03-08;47.4329917092914, 9.38100647217072
"{""coordinates"": [9.38311737079127, 47.4341034849944], ""type"": ""Point""}";Tour 201;2016-03-08;47.4341034849944, 9.38311737079127
"{""coordinates"": [9.38343789478768, 47.4345178863119], ""type"": ""Point""}";Tour 201;2016-03-08;47.4345178863119, 9.38343789478768
"{""coordinates"": [9.38578348671101, 47.4356967172442], ""type"": ""Point""}";Tour 201;2016-03-08;47.4356967172442, 9.38578348671101
"{""coordinates"": [9.38616301930924, 47.4360454044369], ""type"": ""Point""}";Tour 201;2016-03-08;47.4360454044369, 9.38616301930924
"{""coordinates"": [9.38693951886532, 47.4369077346866], ""type"": ""Point""}";Tour 201;2016-03-08;47.4369077346866, 9.38693951886532
"{""coordinates"": [9.38707362932405, 47.4369882009618], ""type"": ""Point""}";Tour 201;2016-03-08;47.4369882009618, 9.38707362932405
"{""coordinates"": [9.38858639529863, 47.4386136197217], ""type"": ""Point""}";Tour 201;2016-03-08;47.4386136197217, 9.38858639529863
"{""coordinates"": [9.39322795827556, 47.4416632915535], ""type"": ""Point""}";Tour 201;2016-03-08;47.4416632915535, 9.39322795827556
"{""coordinates"": [9.39064901415401, 47.440673556368], ""type"": ""Point""}";Tour 201;2016-03-08;47.440673556368, 9.39064901415401
"{""coordinates"": [9.3890557819042, 47.440436180856], ""type"": ""Point""}";Tour 201;2016-03-08;47.440436180856, 9.3890557819042
"{""coordinates"": [9.38831951548573, 47.4399775230871], ""type"": ""Point""}";Tour 201;2016-03-08;47.4399775230871, 9.38831951548573
"{""coordinates"": [9.38830610443986, 47.4398970568119], ""type"": ""Point""}";Tour 201;2016-03-08;47.4398970568119, 9.38830610443986
"{""coordinates"": [9.38849117687292, 47.4391876124851], ""type"": ""Point""}";Tour 201;2016-03-08;47.4391876124851, 9.38849117687292
"{""coordinates"": [9.38786353992603, 47.4401639366248], ""type"": ""Point""}";Tour 201;2016-03-08;47.4401639366248, 9.38786353992603
"{""coordinates"": [9.38685100596254, 47.4397428297843], ""type"": ""Point""}";Tour 201;2016-03-08;47.4397428297843, 9.38685100596254
"{""coordinates"": [9.38646074452762, 47.4395269119458], ""type"": ""Point""}";Tour 201;2016-03-08;47.4395269119458, 9.38646074452762
"{""coordinates"": [9.38555147561738, 47.4389623069145], ""type"": ""Point""}";Tour 201;2016-03-08;47.4389623069145, 9.38555147561738
"{""coordinates"": [9.38468646315852, 47.4382220171822], ""type"": ""Point""}";Tour 201;2016-03-08;47.4382220171822, 9.38468646315852
"{""coordinates"": [9.38324209351791, 47.437137063571], ""type"": ""Point""}";Tour 201;2016-03-08;47.437137063571, 9.38324209351791
"{""coordinates"": [9.38066583160554, 47.4338661094824], ""type"": ""Point""}";Tour 201;2016-03-08;47.4338661094824, 9.38066583160554
"{""coordinates"": [9.3844651809016, 47.4371786378132], ""type"": ""Point""}";Tour 201;2016-03-08;47.4371786378132, 9.3844651809016
"{""coordinates"": [9.38603427326885, 47.4391017817915], ""type"": ""Point""}";Tour 201;2016-03-08;47.4391017817915, 9.38603427326885
"{""coordinates"": [9.38699048083964, 47.4429266120748], ""type"": ""Point""}";Tour 201;2016-03-08;47.4429266120748, 9.38699048083964
"{""coordinates"": [9.38755508587093, 47.4433799054253], ""type"": ""Point""}";Tour 201;2016-03-08;47.4433799054253, 9.38755508587093
"{""coordinates"": [9.38824441362885, 47.4433544244382], ""type"": ""Point""}";Tour 201;2016-03-08;47.4433544244382, 9.38824441362885
