Monat_Jahr;Abfallfraktion;Unterkategorie;Entsorgungsart;Abfuhrgebiet;Annahmestelle;Deponie Anlieferung;Gewicht in kg;Gewicht in t
2022-02;Kehricht;;;;;;1173930.0;1173.93
2022-02;Grüngut;;Annahmestelle;;Deponie Tüfentobel;Privatanlieferer;720.0;0.72
2022-01;Sonderabfall;Farben wässrig;Annahmestelle;;Apotheken / Drogerien;;9.0;0.009
2022-01;Sonderabfall;Chemikalien;Annahmestelle;;Apotheken / Drogerien;;25.0;0.025
2022-02;Sonderabfall;Säuren;Annahmestelle;;Apotheken / Drogerien;;10.0;0.01
2022-02;Sonderabfall;Chemikalien;Annahmestelle;;Apotheken / Drogerien;;12.0;0.012
2022-02;Glas;Braunglas;Annahmestelle;;Sammelstellen;;35300.0;35.3
2022-01;Karton;;Strassensammlung;;;;4320.0;4.32
2022-01;Karton;;Strassensammlung;;;;3200.0;3.2
2022-01;Papier;;Strassensammlung;;;;8050.0;8.05
2022-01;Karton;;Strassensammlung;;;;4180.0;4.18
2022-01;Karton;;Strassensammlung;;;;4530.0;4.53
2022-01;Karton;;Strassensammlung;;;;3170.0;3.17
2022-01;Karton;;Strassensammlung;;;;4800.0;4.8
2022-01;Papier;;Annahmestelle;;RE Ost;;8030.0;8.03
2022-01;Karton;;Annahmestelle;;RE Ost;;3180.0;3.18
2022-01;Karton;;Annahmestelle;;RE Ost;;4590.0;4.59
2022-01;Karton;;Annahmestelle;;RE Ost;;3560.0;3.56
2022-01;Karton;;Annahmestelle;;RE Ost;;4140.0;4.14
2022-01;Karton;;Annahmestelle;;RE West;;1640.0;1.64
2022-01;Papier;;Annahmestelle;;RE West;;3450.0;3.45
2022-01;Papier;;Annahmestelle;;RE West;;3150.0;3.15
2022-01;Karton;;Annahmestelle;;RE West;;1020.0;1.02
2022-01;Altmetall;;Annahmestelle;;Werkhof Wiedacker;;190.0;0.19
2022-02;Papier;;Strassensammlung;;;;6420.0;6.42
2022-02;Karton;;Strassensammlung;;;;4040.0;4.04
2022-02;Papier;;Strassensammlung;;;;6990.0;6.99
2022-02;Karton;;Strassensammlung;;;;2660.0;2.66
2022-02;Papier;;Strassensammlung;;;;6380.0;6.38
2022-02;Papier;;Annahmestelle;;RE Ost;;12450.0;12.45
2022-02;Karton;;Annahmestelle;;RE Ost;;4550.0;4.55
2022-02;Karton;;Annahmestelle;;RE Ost;;4670.0;4.67
2022-02;Karton;;Annahmestelle;;RE Ost;;3290.0;3.29
2022-02;Papier;;Annahmestelle;;RE Ost;;10210.0;10.21
2022-02;Karton;;Annahmestelle;;RE Ost;;2880.0;2.88
2022-02;Karton;;Annahmestelle;;RE West;;1180.0;1.18
2022-02;Karton;;Annahmestelle;;RE West;;1320.0;1.32
2022-02;Karton;;Annahmestelle;;RE West;;1720.0;1.72
2022-02;Papier;;Annahmestelle;;RE West;;2800.0;2.8
2022-02;Karton;;Annahmestelle;;RE West;;1200.0;1.2
2022-03;Glas;Grünglas;Annahmestelle;;Sammelstellen;;86480.0;86.48
2022-03;Sonderabfall;Fett + Öl;Annahmestelle;;Apotheken / Drogerien;;8.0;0.008
2022-03;Sonderabfall;Farben wässrig;Annahmestelle;;Apotheken / Drogerien;;39.0;0.039
2022-03;Papier;;Strassensammlung;;;;3610.0;3.61
2022-03;Papier;;Strassensammlung;;;;9050.0;9.05
2022-03;Papier;;Strassensammlung;;;;7780.0;7.78
2022-03;Karton;;Strassensammlung;;;;3820.0;3.82
2022-03;Papier;;Strassensammlung;;;;8970.0;8.97
2022-03;Karton;;Strassensammlung;;;;4760.0;4.76
2022-03;Karton;;Strassensammlung;;;;5200.0;5.2
2022-03;Papier;;Strassensammlung;;;;6760.0;6.76
2022-03;Papier;;Annahmestelle;;RE Ost;;11910.0;11.91
2022-03;Karton;;Annahmestelle;;RE Ost;;4060.0;4.06
2022-03;Karton;;Annahmestelle;;RE Ost;;3300.0;3.3
2022-03;Karton;;Annahmestelle;;RE West;;1460.0;1.46
2022-03;Papier;;Annahmestelle;;RE West;;4040.0;4.04
2022-04;Glas;Weissglas;Annahmestelle;;Sammelstellen;;75080.0;75.08
2022-04;Altmetall;;Annahmestelle;;Werkhof Wiedacker;;130.0;0.13
2022-04;Papier;;Strassensammlung;;;;9220.0;9.22
2022-04;Papier;;Strassensammlung;;;;4480.0;4.48
2022-04;Karton;;Strassensammlung;;;;1920.0;1.92
2022-04;Karton;;Strassensammlung;;;;3120.0;3.12
2022-04;Papier;;Strassensammlung;;;;10140.0;10.14
2022-04;Papier;;Strassensammlung;;;;9100.0;9.1
2022-04;Karton;;Strassensammlung;;;;2790.0;2.79
2022-04;Karton;;Strassensammlung;;;;5330.0;5.33
2022-04;Karton;;Annahmestelle;;RE Ost;;4280.0;4.28
2022-04;Karton;;Annahmestelle;;RE West;;2030.0;2.03
2022-04;Karton;;Annahmestelle;;RE West;;1090.0;1.09
2022-04;Papier;;Annahmestelle;;RE West;;4590.0;4.59
2022-04;Karton;;Annahmestelle;;RE West;;1530.0;1.53
2022-04;Karton;;Annahmestelle;;RE West;;1510.0;1.51
2022-04;Karton;;Annahmestelle;;RE West;;1230.0;1.23
2022-04;Papier;;Annahmestelle;;RE West;;3880.0;3.88
2022-04;Altmetall;;Strassensammlung;;;;1230.0;1.23
2022-04;Altmetall;;Strassensammlung;;;;1200.0;1.2
2022-04;Altmetall;;Strassensammlung;;;;1570.0;1.57
2022-04;Altmetall;;Strassensammlung;;;;1120.0;1.12
2022-04;Altmetall;;Strassensammlung;;;;1460.0;1.46
2022-04;Altmetall;;Strassensammlung;;;;1100.0;1.1
2022-04;Altmetall;;Strassensammlung;;;;1840.0;1.84
2022-04;Altmetall;;Strassensammlung;;;;1420.0;1.42
2022-04;Sonderabfall;Fett + Öl;Annahmestelle;;Apotheken / Drogerien;;5.0;0.005
2022-05;Grüngut;;Annahmestelle;;Deponie Tüfentobel;Privatanlieferer;1720.0;1.72
2022-05;Altmetall;;Annahmestelle;;Werkhof Wiedacker;;220.0;0.22
2022-05;Karton;;Strassensammlung;;;;3860.0;3.86
2022-05;Papier;;Strassensammlung;;;;7470.0;7.47
2022-05;Karton;;Strassensammlung;;;;4360.0;4.36
2022-05;Papier;;Strassensammlung;;;;9990.0;9.99
2022-05;Papier;;Strassensammlung;;;;9980.0;9.98
2022-05;Papier;;Strassensammlung;;;;8250.0;8.25
2022-05;Karton;;Annahmestelle;;RE Ost;;3580.0;3.58
2022-05;Karton;;Annahmestelle;;RE Ost;;5450.0;5.45
2022-05;Karton;;Annahmestelle;;RE Ost;;4680.0;4.68
2022-05;Papier;;Annahmestelle;;RE Ost;;10720.0;10.72
2022-05;Karton;;Annahmestelle;;RE West;;1910.0;1.91
2022-05;Karton;;Annahmestelle;;RE West;;1670.0;1.67
2022-05;Karton;;Annahmestelle;;RE West;;1250.0;1.25
2022-05;Karton;;Annahmestelle;;RE West;;1730.0;1.73
2022-05;Karton;;Annahmestelle;;RE West;;2110.0;2.11
2022-05;Karton;;Annahmestelle;;RE West;;1360.0;1.36
2022-05;Sonderabfall;Spraydosen;Annahmestelle;;Apotheken / Drogerien;;5.0;0.005
2022-05;Sonderabfall;Lösungsmittel;Annahmestelle;;Apotheken / Drogerien;;22.0;0.022
2022-06;Altmetall;;Annahmestelle;;Werkhof Wiedacker;;500.0;0.5
2022-06;Grüngut;;Annahmestelle;;Deponie Tüfentobel;Privatanlieferer;5260.0;5.26
2022-06;Papier;;Strassensammlung;;;;7440.0;7.44
2022-06;Papier;;Strassensammlung;;;;3510.0;3.51
2022-06;Karton;;Strassensammlung;;;;2420.0;2.42
2022-06;Papier;;Strassensammlung;;;;8340.0;8.34
2022-06;Karton;;Strassensammlung;;;;4040.0;4.04
2022-06;Karton;;Strassensammlung;;;;2750.0;2.75
2022-06;Karton;;Strassensammlung;;;;3820.0;3.82
2022-06;Karton;;Annahmestelle;;RE Ost;;2800.0;2.8
2022-06;Karton;;Annahmestelle;;RE Ost;;2880.0;2.88
2022-06;Karton;;Annahmestelle;;RE Ost;;2230.0;2.23
2022-06;Karton;;Annahmestelle;;RE Ost;;3360.0;3.36
2022-06;Papier;;Annahmestelle;;RE Ost;;13380.0;13.38
2022-06;Karton;;Annahmestelle;;RE West;;1590.0;1.59
2022-06;Karton;;Annahmestelle;;RE West;;1360.0;1.36
2022-06;Karton;;Annahmestelle;;RE West;;1530.0;1.53
2022-06;Karton;;Annahmestelle;;RE West;;1890.0;1.89
2022-06;Altmetall;;Annahmestelle;;Werkhof Waldau;;4940.0;4.94
2022-06;Kehricht;;;;;;1331530.0;1331.53
2022-03;Altöl;;Annahmestelle;;Sammelstellen;;1172.0;1.172
2022-05;Altöl;;Annahmestelle;;Sammelstellen;;971.0;0.971
2022-07;Papier;;Strassensammlung;;;;6640.0;6.64
2022-07;Papier;;Strassensammlung;;;;1530.0;1.53
2022-07;Karton;;Strassensammlung;;;;3350.0;3.35
2022-07;Karton;;Strassensammlung;;;;2100.0;2.1
2022-07;Papier;;Strassensammlung;;;;6460.0;6.46
2022-07;Papier;;Strassensammlung;;;;5630.0;5.63
2022-07;Papier;;Strassensammlung;;;;6620.0;6.62
2022-07;Karton;;Strassensammlung;;;;6040.0;6.04
2022-07;Karton;;Annahmestelle;;RE Ost;;2920.0;2.92
2022-07;Karton;;Annahmestelle;;RE Ost;;4010.0;4.01
2022-07;Papier;;Annahmestelle;;RE Ost;;10890.0;10.89
2022-07;Karton;;Annahmestelle;;RE Ost;;2740.0;2.74
2022-07;Karton;;Annahmestelle;;RE Ost;;3740.0;3.74
2022-07;Karton;;Annahmestelle;;RE West;;2520.0;2.52
2022-07;Altmetall;;Annahmestelle;;Werkhof Waldau;;4960.0;4.96
2022-08;Altmetall;;Annahmestelle;;Werkhof Wiedacker;;140.0;0.14
2022-08;Altmetall;;Annahmestelle;;Werkhof Wiedacker;;131.0;0.131
2022-08;Glas;Weissglas;Annahmestelle;;Sammelstellen;;76840.0;76.84
2022-08;Karton;;Strassensammlung;;;;2470.0;2.47
2022-08;Papier;;Strassensammlung;;;;7460.0;7.46
2022-08;Papier;;Strassensammlung;;;;5700.0;5.7
2022-08;Karton;;Strassensammlung;;;;2520.0;2.52
2022-08;Papier;;Strassensammlung;;;;5800.0;5.8
2022-08;Karton;;Strassensammlung;;;;4130.0;4.13
2022-08;Karton;;Annahmestelle;;RE Ost;;4430.0;4.43
2022-08;Karton;;Annahmestelle;;RE Ost;;4210.0;4.21
2022-08;Karton;;Annahmestelle;;RE Ost;;4270.0;4.27
2022-08;Karton;;Annahmestelle;;RE Ost;;4570.0;4.57
2022-08;Dosen;;Annahmestelle;;Sammelstellen;;12040.0;12.04
2022-08;Sonderabfall;Hg Bruch;Annahmestelle;;Apotheken / Drogerien;;11.0;0.011
2022-08;Sonderabfall;Farben wässrig;Annahmestelle;;Apotheken / Drogerien;;28.0;0.028
2022-09;Grüngut;;Strassensammlung;;;;193780.0;193.78
2022-09;Sonderabfall;Lösungsmittel;Annahmestelle;;Apotheken / Drogerien;;4.0;0.004
2022-09;Sonderabfall;Pestizide;Annahmestelle;;Apotheken / Drogerien;;5.0;0.005
2022-09;Sonderabfall;Farben mit Lömi;Annahmestelle;;Apotheken / Drogerien;;22.0;0.022
2022-09;Sonderabfall;Hg Bruch;Annahmestelle;;Apotheken / Drogerien;;1.0;0.001
2022-09;Altmetall;;Annahmestelle;;Werkhof Wiedacker;;175.0;0.175
2022-09;Dosen;;Annahmestelle;;Sammelstellen;;13440.0;13.44
2022-09;Karton;;Strassensammlung;;;;3590.0;3.59
2022-09;Papier;;Strassensammlung;;;;7310.0;7.31
2022-09;Papier;;Strassensammlung;;;;2800.0;2.8
2022-09;Papier;;Strassensammlung;;;;7850.0;7.85
2022-09;Karton;;Strassensammlung;;;;4090.0;4.09
2022-09;Karton;;Strassensammlung;;;;3990.0;3.99
2022-09;Papier;;Strassensammlung;;;;8300.0;8.3
2022-09;Karton;;Annahmestelle;;RE Ost;;2940.0;2.94
2022-09;Karton;;Annahmestelle;;RE Ost;;3490.0;3.49
2022-09;Papier;;Annahmestelle;;RE Ost;;11900.0;11.9
2022-09;Karton;;Annahmestelle;;RE West;;3280.0;3.28
2022-09;Karton;;Annahmestelle;;RE West;;3240.0;3.24
2022-09;Karton;;Annahmestelle;;RE West;;4370.0;4.37
2022-09;Altmetall;;Strassensammlung;;;;550.0;0.55
2022-09;Altmetall;;Strassensammlung;;;;1300.0;1.3
2022-09;Altmetall;;Strassensammlung;;;;640.0;0.64
2022-09;Altmetall;;Strassensammlung;;;;330.0;0.33
2022-10;Sonderabfall;Chemikalien;Annahmestelle;;Apotheken / Drogerien;;42.0;0.042
2022-10;Karton;;Strassensammlung;;;;2070.0;2.07
2022-10;Papier;;Strassensammlung;;;;7190.0;7.19
2022-10;Karton;;Strassensammlung;;;;5250.0;5.25
2022-10;Karton;;Strassensammlung;;;;3720.0;3.72
2022-10;Papier;;Strassensammlung;;;;6510.0;6.51
2022-10;Karton;;Strassensammlung;;;;2760.0;2.76
2022-10;Papier;;Strassensammlung;;;;8830.0;8.83
2022-10;Karton;;Strassensammlung;;;;3210.0;3.21
2022-10;Karton;;Strassensammlung;;;;6610.0;6.61
2022-10;Karton;;Annahmestelle;;RE Ost;;1810.0;1.81
2022-10;Karton;;Annahmestelle;;RE Ost;;4960.0;4.96
2022-10;Karton;;Annahmestelle;;RE Ost;;4100.0;4.1
2022-10;Papier;;Annahmestelle;;RE West;;6880.0;6.88
2022-10;Karton;;Annahmestelle;;RE West;;2440.0;2.44
2022-10;Karton;;Annahmestelle;;RE West;;2740.0;2.74
2022-10;Karton;;Annahmestelle;;RE West;;4050.0;4.05
2022-06;Altöl;;Annahmestelle;;Sammelstellen;;999.0;0.999
2022-11;Glas;Grünglas;Annahmestelle;;Sammelstellen;;77290.0;77.29
2022-11;Altmetall;;Annahmestelle;;Werkhof Waldau;;5960.0;5.96
2022-11;Karton;;Strassensammlung;;;;4020.0;4.02
2022-11;Papier;;Strassensammlung;;;;12450.0;12.45
2022-11;Papier;;Strassensammlung;;;;9320.0;9.32
2022-11;Karton;;Strassensammlung;;;;3750.0;3.75
2022-11;Karton;;Annahmestelle;;RE Ost;;3800.0;3.8
2022-11;Papier;;Annahmestelle;;RE Ost;;9370.0;9.37
2022-11;Papier;;Annahmestelle;;RE Ost;;10360.0;10.36
2022-11;Karton;;Annahmestelle;;RE West;;2640.0;2.64
2022-11;Sonderabfall;Farben wässrig;Annahmestelle;;Apotheken / Drogerien;;20.0;0.02
2022-11;Altöl;;Annahmestelle;;Sammelstellen;;1172.0;1.172
2022-12;Altmetall;;Annahmestelle;;Werkhof Wiedacker;;210.0;0.21
2022-12;Glas;Weissglas;Annahmestelle;;Sammelstellen;;77630.0;77.63
2022-12;Sonderabfall;Wässrige Lösung;Annahmestelle;;Apotheken / Drogerien;;10.0;0.01
2022-12;Sonderabfall;Hg Bruch;Annahmestelle;;Apotheken / Drogerien;;2.0;0.002
2022-12;Sonderabfall;Säuren;Annahmestelle;;Apotheken / Drogerien;;5.0;0.005
2022-12;Karton;;Strassensammlung;;;;5330.0;5.33
2022-12;Karton;;Strassensammlung;;;;2210.0;2.21
2022-12;Karton;;Strassensammlung;;;;4160.0;4.16
2022-12;Papier;;Strassensammlung;;;;2800.0;2.8
2022-12;Papier;;Strassensammlung;;;;7600.0;7.6
2022-12;Karton;;Strassensammlung;;;;3970.0;3.97
2022-12;Papier;;Strassensammlung;;;;4920.0;4.92
2022-12;Karton;;Annahmestelle;;RE Ost;;3120.0;3.12
2022-12;Karton;;Annahmestelle;;RE Ost;;3200.0;3.2
2022-12;Karton;;Annahmestelle;;RE Ost;;2720.0;2.72
2022-12;Papier;;Annahmestelle;;RE Ost;;9830.0;9.83
2022-12;Karton;;Annahmestelle;;RE Ost;;3020.0;3.02
2022-12;Papier;;Annahmestelle;;RE Ost;;11160.0;11.16
2022-12;Karton;;Annahmestelle;;RE Ost;;4250.0;4.25
2022-12;Papier;;Annahmestelle;;RE Ost;;7500.0;7.5
2022-08;Altmetall;;Annahmestelle;;RE West;;7152.0;7.152
2023-01;Glas;Weissglas;Annahmestelle;;Sammelstellen;;85390.0;85.39
2023-01;Sonderabfall;Altmedikamente;Annahmestelle;;Apotheken / Drogerien;;390.0;0.39
2023-01;Sonderabfall;Chemikalien;Annahmestelle;;Apotheken / Drogerien;;82.0;0.082
2023-01;Papier;;Strassensammlung;;;;6860.0;6.86
2023-01;Papier;;Strassensammlung;;;;6720.0;6.72
2023-01;Papier;;Strassensammlung;;;;10060.0;10.06
2023-01;Karton;;Strassensammlung;;;;4530.0;4.53
2023-01;Papier;;Strassensammlung;;;;7580.0;7.58
2023-01;Papier;;Strassensammlung;;;;5680.0;5.68
2023-01;Karton;;Strassensammlung;;;;3070.0;3.07
2023-01;Karton;;Annahmestelle;;RE Ost;;4060.0;4.06
2023-01;Karton;;Annahmestelle;;RE Ost;;2760.0;2.76
2023-01;Papier;;Annahmestelle;;RE West;;7100.0;7.1
2023-02;Grüngut;;Strassensammlung;;;;113020.0;113.02
2023-02;Dosen;;Annahmestelle;;Sammelstellen;;15090.0;15.09
2023-02;Papier;;Strassensammlung;;;;6620.0;6.62
2023-02;Karton;;Strassensammlung;;;;5770.0;5.77
2023-02;Karton;;Annahmestelle;;RE Ost;;3800.0;3.8
2023-02;Altmetall;;Annahmestelle;;Werkhof Waldau;;5850.0;5.85
2023-02;Sonderabfall;Spraydosen;Annahmestelle;;Apotheken / Drogerien;;14.0;0.014
2015-01;Kehricht;;;;;;1447730.0;1447.73
2015-02;Kehricht;;;;;;1256470.0;1256.47
2015-05;Kehricht;;;;;;1401970.0;1401.97
2015-06;Kehricht;;;;;;1474660.0;1474.66
2015-09;Kehricht;;;;;;1370390.0;1370.39
2016-03;Kehricht;;;;;;1452730.0;1452.73
2016-04;Kehricht;;;;;;1374490.0;1374.49
2016-07;Kehricht;;;;;;1351010.0;1351.01
2017-03;Kehricht;;;;;;1515630.0;1515.63
2017-05;Kehricht;;;;;;1551100.0;1551.1
2017-07;Kehricht;;;;;;1270800.0;1270.8
2017-10;Kehricht;;;;;;1334820.0;1334.82
2018-08;Kehricht;;;;;;1332290.0;1332.29
2018-10;Kehricht;;;;;;1370030.0;1370.03
2019-03;Kehricht;;;;;;1320710.0;1320.71
2019-04;Kehricht;;;;;;1326900.0;1326.9
2019-06;Kehricht;;;;;;1250900.0;1250.9
2019-12;Kehricht;;;;;;1302990.0;1302.99
2020-06;Kehricht;;;;;;1353800.0;1353.8
2020-12;Kehricht;;;;;;1401980.0;1401.98
2021-01;Kehricht;;;;;;1203860.0;1203.86
2021-02;Kehricht;;;;;;1213050.0;1213.05
2021-12;Kehricht;;;;;;1390890.0;1390.89
2017-01;Grüngut;;Strassensammlung;;;;12490.0;12.49
2017-06;Grüngut;;Strassensammlung;;;;120110.0;120.11
2017-12;Grüngut;;Strassensammlung;;;;56600.0;56.6
2018-02;Grüngut;;Strassensammlung;;;;42110.0;42.11
2018-04;Grüngut;;Strassensammlung;;;;111460.0;111.46
2018-05;Grüngut;;Strassensammlung;;;;134060.0;134.06
2018-09;Grüngut;;Strassensammlung;;;;125530.0;125.53
2018-11;Grüngut;;Strassensammlung;;;;129000.0;129.0
2019-06;Grüngut;;Strassensammlung;;;;141830.0;141.83
2019-11;Grüngut;;Strassensammlung;;;;144300.0;144.3
2019-12;Grüngut;;Strassensammlung;;;;95560.0;95.56
2020-01;Grüngut;;Strassensammlung;;;;103520.0;103.52
2021-03;Grüngut;;Strassensammlung;;;;149050.0;149.05
2021-05;Grüngut;;Strassensammlung;;;;169130.0;169.13
2017-04;Grüngut;;Annahmestelle;;Deponie Tüfentobel;Privatanlieferer;0.0;0.0
2017-05;Grüngut;;Annahmestelle;;Deponie Tüfentobel;Privatanlieferer;12350.0;12.35
2017-08;Grüngut;;Annahmestelle;;Deponie Tüfentobel;Privatanlieferer;4930.0;4.93
2018-02;Grüngut;;Annahmestelle;;Deponie Tüfentobel;Privatanlieferer;0.0;0.0
2018-08;Grüngut;;Annahmestelle;;Deponie Tüfentobel;Privatanlieferer;61340.0;61.34
2018-10;Grüngut;;Annahmestelle;;Deponie Tüfentobel;Privatanlieferer;9510.0;9.51
2018-11;Grüngut;;Annahmestelle;;Deponie Tüfentobel;Privatanlieferer;5720.0;5.72
2019-02;Grüngut;;Annahmestelle;;Deponie Tüfentobel;Privatanlieferer;1000.0;1.0
2019-08;Grüngut;;Annahmestelle;;Deponie Tüfentobel;Privatanlieferer;7380.0;7.38
2019-11;Grüngut;;Annahmestelle;;Deponie Tüfentobel;Privatanlieferer;5920.0;5.92
2020-02;Grüngut;;Annahmestelle;;Deponie Tüfentobel;Privatanlieferer;1980.0;1.98
2020-07;Grüngut;;Annahmestelle;;Deponie Tüfentobel;Privatanlieferer;2980.0;2.98
2020-11;Grüngut;;Annahmestelle;;Deponie Tüfentobel;Privatanlieferer;12970.0;12.97
2021-01;Grüngut;;Annahmestelle;;Deponie Tüfentobel;Privatanlieferer;0.0;0.0
2021-09;Grüngut;;Annahmestelle;;Deponie Tüfentobel;Privatanlieferer;6750.0;6.75
2015-01;Papier;;Strassensammlung;F;;;12330.0;12.33
2015-01;Papier;;Strassensammlung;H;;;6600.0;6.6
2015-01;Karton;;Strassensammlung;E;;;9980.0;9.98
2015-01;Karton;;Strassensammlung;L;;;16650.0;16.65
2015-01;Karton;;Strassensammlung;I;;;6500.0;6.5
2015-01;Karton;;Strassensammlung;A;;;5420.0;5.42
2015-01;Papier;;Strassensammlung;L;;;32970.0;32.97
2015-02;Papier;;Strassensammlung;E;;;16320.0;16.32
2015-02;Karton;;Strassensammlung;L;;;18010.0;18.01
2015-02;Papier;;Strassensammlung;I;;;8820.0;8.82
2015-02;Papier;;Strassensammlung;F;;;14740.0;14.74
2015-02;Papier;;Strassensammlung;A;;;7080.0;7.08
2015-03;Papier;;Strassensammlung;D;;;11640.0;11.64
2015-03;Papier;;Strassensammlung;B;;;11770.0;11.77
2015-03;Karton;;Strassensammlung;H;;;4600.0;4.6
2015-03;Karton;;Strassensammlung;B;;;8700.0;8.7
2015-03;Papier;;Strassensammlung;E;;;41680.0;41.68
2015-03;Papier;;Strassensammlung;A;;;19540.0;19.54
2015-04;Papier;;Strassensammlung;L;;;23530.0;23.53
2015-04;Papier;;Strassensammlung;A;;;8760.0;8.76
2015-04;Papier;;Strassensammlung;D;;;11980.0;11.98
2015-05;Karton;;Strassensammlung;I;;;6190.0;6.19
2015-05;Karton;;Strassensammlung;A;;;4200.0;4.2
2015-05;Karton;;Strassensammlung;F;;;9170.0;9.17
2015-05;Karton;;Strassensammlung;B;;;8220.0;8.22
2015-05;Papier;;Strassensammlung;E;;;36390.0;36.39
2015-05;Papier;;Strassensammlung;L;;;21510.0;21.51
2015-06;Karton;;Strassensammlung;L;;;14480.0;14.48
2015-06;Papier;;Strassensammlung;I;;;8000.0;8.0
2015-06;Papier;;Strassensammlung;A;;;7050.0;7.05
2015-06;Papier;;Strassensammlung;F;;;13490.0;13.49
2015-06;Papier;;Strassensammlung;L;;;22030.0;22.03
2015-06;Papier;;Strassensammlung;I;;;9010.0;9.01
2015-06;Papier;;Strassensammlung;A;;;8960.0;8.96
2015-06;Papier;;Strassensammlung;D;;;10300.0;10.3
2015-07;Papier;;Strassensammlung;D;;;13040.0;13.04
2015-07;Papier;;Strassensammlung;B;;;14710.0;14.71
2015-07;Papier;;Strassensammlung;E;;;12710.0;12.71
2015-07;Papier;;Strassensammlung;A;;;5730.0;5.73
2015-08;Papier;;Strassensammlung;D;;;9250.0;9.25
2015-08;Papier;;Strassensammlung;K;;;8690.0;8.69
2015-08;Karton;;Strassensammlung;E;;;8880.0;8.88
2015-08;Karton;;Strassensammlung;C;;;4370.0;4.37
2015-08;Karton;;Strassensammlung;I;;;4990.0;4.99
2015-08;Karton;;Strassensammlung;F;;;8510.0;8.51
2015-09;Karton;;Strassensammlung;D;;;5160.0;5.16
2015-09;Karton;;Strassensammlung;K;;;5260.0;5.26
2015-09;Papier;;Strassensammlung;C;;;13580.0;13.58
2015-09;Papier;;Strassensammlung;F;;;24750.0;24.75
2015-09;Papier;;Strassensammlung;K;;;20510.0;20.51
2015-09;Papier;;Strassensammlung;E;;;18320.0;18.32
2015-09;Papier;;Strassensammlung;F;;;15250.0;15.25
2015-10;Papier;;Strassensammlung;I;;;8040.0;8.04
2015-10;Papier;;Strassensammlung;F;;;14380.0;14.38
2015-10;Papier;;Strassensammlung;K;;;9860.0;9.86
2015-10;Karton;;Strassensammlung;C;;;4810.0;4.81
2015-10;Karton;;Strassensammlung;A;;;4860.0;4.86
2015-10;Karton;;Strassensammlung;F;;;8520.0;8.52
2015-11;Papier;;Strassensammlung;C;;;18490.0;18.49
2015-11;Karton;;Strassensammlung;L;;;11860.0;11.86
2015-11;Papier;;Strassensammlung;I;;;4920.0;4.92
2015-11;Papier;;Strassensammlung;D;;;9120.0;9.12
2015-11;Papier;;Strassensammlung;K;;;8640.0;8.64
2015-12;Papier;;Strassensammlung;G;;;8170.0;8.17
2015-12;Papier;;Strassensammlung;A;;;10070.0;10.07
2015-12;Papier;;Strassensammlung;H;;;10910.0;10.91
2015-12;Papier;;Strassensammlung;K;;;12480.0;12.48
2015-12;Karton;;Strassensammlung;L;;;19440.0;19.44
2016-01;Papier;;Strassensammlung;K;;;15940.0;15.94
2016-01;Papier;;Strassensammlung;B;;;16470.0;16.47
2016-01;Papier;;Strassensammlung;E;;;18430.0;18.43
2016-01;Karton;;Strassensammlung;L;;;16300.0;16.3
2016-01;Papier;;Strassensammlung;A;;;9440.0;9.44
2016-01;Papier;;Strassensammlung;F;;;10170.0;10.17
2016-01;Papier;;Strassensammlung;D;;;7230.0;7.23
2016-01;Papier;;Strassensammlung;B;;;7690.0;7.69
2016-01;Papier;;Strassensammlung;C;;;7890.0;7.89
2016-02;Papier;;Strassensammlung;H;;;9100.0;9.1
2016-02;Papier;;Strassensammlung;K;;;9040.0;9.04
2016-02;Karton;;Strassensammlung;G;;;8440.0;8.44
2016-02;Karton;;Strassensammlung;I;;;6850.0;6.85
2016-02;Karton;;Strassensammlung;H;;;5020.0;5.02
2016-02;Karton;;Strassensammlung;D;;;5220.0;5.22
2016-02;Karton;;Strassensammlung;B;;;8880.0;8.88
2016-02;Papier;;Strassensammlung;G;;;14120.0;14.12
2016-03;Papier;;Strassensammlung;D;;;18320.0;18.32
2016-03;Papier;;Strassensammlung;K;;;19300.0;19.3
2016-03;Papier;;Strassensammlung;B;;;12220.0;12.22
2016-03;Papier;;Strassensammlung;F;;;15580.0;15.58
2016-03;Papier;;Strassensammlung;H;;;7380.0;7.38
2016-04;Karton;;Strassensammlung;E;;;11140.0;11.14
2016-04;Karton;;Strassensammlung;I;;;6850.0;6.85
2016-04;Karton;;Strassensammlung;B;;;8350.0;8.35
2016-04;Papier;;Strassensammlung;G;;;11690.0;11.69
2016-04;Papier;;Strassensammlung;L;;;17930.0;17.93
2016-05;Karton;;Strassensammlung;L;;;14930.0;14.93
2016-05;Papier;;Strassensammlung;H;;;7410.0;7.41
2016-05;Papier;;Strassensammlung;E;;;17210.0;17.21
2016-05;Papier;;Strassensammlung;A;;;8760.0;8.76
2016-05;Papier;;Strassensammlung;B;;;12550.0;12.55
2016-06;Karton;;Strassensammlung;F;;;10330.0;10.33
2016-06;Karton;;Strassensammlung;B;;;9290.0;9.29
2016-07;Papier;;Strassensammlung;H;;;8190.0;8.19
2016-07;Papier;;Strassensammlung;K;;;8450.0;8.45
2016-07;Karton;;Strassensammlung;G;;;4110.0;4.11
2016-07;Papier;;Strassensammlung;L;;;20400.0;20.4
2016-07;Karton;;Strassensammlung;K;;;4110.0;4.11
