Geo Point;Geo Shape;Standort;anzeigesta
47.42203214519501, 9.362904053245162;"{""coordinates"": [9.362904053245162, 47.42203214519501], ""type"": ""Point""}";Rosenbergweg 19;1
47.41207391129592, 9.3522623331206;"{""coordinates"": [9.3522623331206, 47.41207391129592], ""type"": ""Point""}";Ruhsitzstrasse / Ruhsitzweg;1
47.43829495929563, 9.385851024507682;"{""coordinates"": [9.385851024507682, 47.43829495929563], ""type"": ""Point""}";Lessingstrasse 46;1
47.437324075188826, 9.385988319163134;"{""coordinates"": [9.385988319163134, 47.437324075188826], ""type"": ""Point""}";Schubertstrasse 15;1
47.43088978917402, 9.39640483048957;"{""coordinates"": [9.39640483048957, 47.43088978917402], ""type"": ""Point""}";Falkensteinstrasse 54;1
47.410519241898456, 9.345278143335761;"{""coordinates"": [9.345278143335761, 47.410519241898456], ""type"": ""Point""}";Hechtackerstrasse 40;1
47.40640454219923, 9.310168424521548;"{""coordinates"": [9.310168424521548, 47.40640454219923], ""type"": ""Point""}";Kräzernstrasse 114;1
47.43854112341496, 9.38495761932514;"{""coordinates"": [9.38495761932514, 47.43854112341496], ""type"": ""Point""}";Goethestrasse 59;1
47.413254426462565, 9.333598965045608;"{""coordinates"": [9.333598965045608, 47.413254426462565], ""type"": ""Point""}";Ullmannstrasse 13;1
47.4161738178781, 9.343830211132843;"{""coordinates"": [9.343830211132843, 47.4161738178781], ""type"": ""Point""}";Zürcher Strasse 126;1
47.441469206719376, 9.41319781605793;"{""coordinates"": [9.41319781605793, 47.441469206719376], ""type"": ""Point""}";Lerchentalstrasse 2;1
47.43604611596271, 9.405682002763148;"{""coordinates"": [9.405682002763148, 47.43604611596271], ""type"": ""Point""}";Grünaustrasse 25;1
47.435782943780886, 9.408605839958433;"{""coordinates"": [9.408605839958433, 47.435782943780886], ""type"": ""Point""}";Fuchsenstrasse 6;1
47.40984368809253, 9.337359717105876;"{""coordinates"": [9.337359717105876, 47.40984368809253], ""type"": ""Point""}";Moosstrasse 57;1
47.40494861159083, 9.311971462283234;"{""coordinates"": [9.311971462283234, 47.40494861159083], ""type"": ""Point""}";Kräzernstrasse 98;1
47.412684302546296, 9.351492835247788;"{""coordinates"": [9.351492835247788, 47.412684302546296], ""type"": ""Point""}";Landhausstrasse 20;1
47.40701884050465, 9.31201115853115;"{""coordinates"": [9.31201115853115, 47.40701884050465], ""type"": ""Point""}";Moosgartenstrasse 9/11;1
47.438324035843536, 9.391686012270178;"{""coordinates"": [9.391686012270178, 47.438324035843536], ""type"": ""Point""}";Kolumbanstrasse 33;1
47.40649529633462, 9.318501046692816;"{""coordinates"": [9.318501046692816, 47.40649529633462], ""type"": ""Point""}";Kräzernstrasse 45;1
47.42112365995548, 9.38006275743609;"{""coordinates"": [9.38006275743609, 47.42112365995548], ""type"": ""Point""}";Buchstrasse 12;1
47.43209508512066, 9.393359901431394;"{""coordinates"": [9.393359901431394, 47.43209508512066], ""type"": ""Point""}";Friedeggstrasse 5;1
47.441442009852736, 9.395173000618403;"{""coordinates"": [9.395173000618403, 47.441442009852736], ""type"": ""Point""}";Lettenstrasse 19;1
47.43521717791982, 9.372407854690875;"{""coordinates"": [9.372407854690875, 47.43521717791982], ""type"": ""Point""}";Klosterweidlistrasse 17;1
47.40985443058205, 9.334610405481202;"{""coordinates"": [9.334610405481202, 47.40985443058205], ""type"": ""Point""}";Fürstenlandstrasse 159;1
47.44056644524295, 9.394844367057976;"{""coordinates"": [9.394844367057976, 47.44056644524295], ""type"": ""Point""}";Espenmoosstrasse 7;1
47.415988442910376, 9.34756592948441;"{""coordinates"": [9.34756592948441, 47.415988442910376], ""type"": ""Point""}";Zürcher Strasse 95;1
47.43312400245948, 9.410948810949067;"{""coordinates"": [9.410948810949067, 47.43312400245948], ""type"": ""Point""}";Rehetobelstrasse 64;1
47.42559593863457, 9.402434479695604;"{""coordinates"": [9.402434479695604, 47.42559593863457], ""type"": ""Point""}";Hardungstr. 10;1
47.4059986701506, 9.329467289996483;"{""coordinates"": [9.329467289996483, 47.4059986701506], ""type"": ""Point""}";Lehnstrasse 42;1
47.42431403747852, 9.377524687659356;"{""coordinates"": [9.377524687659356, 47.42431403747852], ""type"": ""Point""}";Kugelgasse 19;1
47.41608950224229, 9.358153767694185;"{""coordinates"": [9.358153767694185, 47.41608950224229], ""type"": ""Point""}";Zschokkestrasse;1
47.404490791374464, 9.31571794592613;"{""coordinates"": [9.31571794592613, 47.404490791374464], ""type"": ""Point""}";Sturzeneggstrasse 26;1
47.40507481506341, 9.3134680655603;"{""coordinates"": [9.3134680655603, 47.40507481506341], ""type"": ""Point""}";Kräzernstrasse 92;1
47.40726400149319, 9.326624582293404;"{""coordinates"": [9.326624582293404, 47.40726400149319], ""type"": ""Point""}";Zweibruggenmühle;1
47.42676502066385, 9.406591131789556;"{""coordinates"": [9.406591131789556, 47.42676502066385], ""type"": ""Point""}";Huebstrasse 9d;1
47.413965775057044, 9.346077559051123;"{""coordinates"": [9.346077559051123, 47.413965775057044], ""type"": ""Point""}";Ahornstrasse 23;1
47.435617184289896, 9.385681527067135;"{""coordinates"": [9.385681527067135, 47.435617184289896], ""type"": ""Point""}";Iddastrasse 3;1
47.42025399438426, 9.37202299603041;"{""coordinates"": [9.37202299603041, 47.42025399438426], ""type"": ""Point""}";Wassergasse 39;1
47.43050724329796, 9.397658602436731;"{""coordinates"": [9.397658602436731, 47.43050724329796], ""type"": ""Point""}";Rappensteinstrasse 6;1
47.418736100763645, 9.370106983624485;"{""coordinates"": [9.370106983624485, 47.418736100763645], ""type"": ""Point""}";Felsenstrasse 101;1
47.410525821205624, 9.368261233060485;"{""coordinates"": [9.368261233060485, 47.410525821205624], ""type"": ""Point""}";Wattstrasse / Wattweg 2;1
47.441941616277916, 9.395066622116609;"{""coordinates"": [9.395066622116609, 47.441941616277916], ""type"": ""Point""}";Lettenstrasse / Langgasse 120a;1
47.44020994570598, 9.410943620670583;"{""coordinates"": [9.410943620670583, 47.44020994570598], ""type"": ""Point""}";Schönbüelpark;1
47.43650032935635, 9.411426124784045;"{""coordinates"": [9.411426124784045, 47.43650032935635], ""type"": ""Point""}";Martinsbruggstrasse 41;1
47.42517490166161, 9.382040904522746;"{""coordinates"": [9.382040904522746, 47.42517490166161], ""type"": ""Point""}";Lämmlisbrunnenstrasse 44;1
47.42650474510277, 9.388970932285872;"{""coordinates"": [9.388970932285872, 47.42650474510277], ""type"": ""Point""}";Steingrüeblistrasse 24;1
47.411797586629774, 9.331288476607028;"{""coordinates"": [9.331288476607028, 47.411797586629774], ""type"": ""Point""}";Engelwiesweg / Austr.;1
47.43598924126841, 9.400536480892006;"{""coordinates"": [9.400536480892006, 47.43598924126841], ""type"": ""Point""}";Lindenstrasse 122;1
47.42434339294229, 9.383047943896885;"{""coordinates"": [9.383047943896885, 47.42434339294229], ""type"": ""Point""}";Brunnenberg;1
47.427850006051244, 9.394418878312859;"{""coordinates"": [9.394418878312859, 47.427850006051244], ""type"": ""Point""}";Birnbäumenstrasse 31;1
47.4272192714596, 9.38712671811511;"{""coordinates"": [9.38712671811511, 47.4272192714596], ""type"": ""Point""}";Flurhofstrasse 7;1
47.425180322245446, 9.382016295698035;"{""coordinates"": [9.382016295698035, 47.425180322245446], ""type"": ""Point""}";Lämmlisbrunnenstrasse 44;1
47.42200106766352, 9.364101046914154;"{""coordinates"": [9.364101046914154, 47.42200106766352], ""type"": ""Point""}";Rosenbergweg 12;1
47.422363148993036, 9.36497150939428;"{""coordinates"": [9.36497150939428, 47.422363148993036], ""type"": ""Point""}";Rosenbergweg 4;1
47.418467656212464, 9.366578549684586;"{""coordinates"": [9.366578549684586, 47.418467656212464], ""type"": ""Point""}";Unterstrasse 45;1
47.42581108756013, 9.38963086702662;"{""coordinates"": [9.38963086702662, 47.42581108756013], ""type"": ""Point""}";Krüsistrasse 4;1
47.44254210920121, 9.410615557999309;"{""coordinates"": [9.410615557999309, 47.44254210920121], ""type"": ""Point""}";Brauerstrasse 79;1
47.44071803711794, 9.39554297501557;"{""coordinates"": [9.39554297501557, 47.44071803711794], ""type"": ""Point""}";Espenmoosstrasse 10 / 12;1
47.400247355144366, 9.299794363496911;"{""coordinates"": [9.299794363496911, 47.400247355144366], ""type"": ""Point""}";Gsellstrasse 26;1
47.41960529149816, 9.36371211152709;"{""coordinates"": [9.36371211152709, 47.41960529149816], ""type"": ""Point""}";Burgstrasse 18;1
47.43124619003251, 9.399815005748989;"{""coordinates"": [9.399815005748989, 47.43124619003251], ""type"": ""Point""}";Rappensteinstrasse 19;1
47.44896493753719, 9.406486191482664;"{""coordinates"": [9.406486191482664, 47.44896493753719], ""type"": ""Point""}";Kesselhaldenstrasse 85;1
47.41470740116583, 9.392955711962722;"{""coordinates"": [9.392955711962722, 47.41470740116583], ""type"": ""Point""}";St.Georgen-Strasse 174;1
47.42690707202631, 9.373818147073761;"{""coordinates"": [9.373818147073761, 47.42690707202631], ""type"": ""Point""}";Blumenbergplatz;1
47.43442997746114, 9.409002459137255;"{""coordinates"": [9.409002459137255, 47.43442997746114], ""type"": ""Point""}";Fuchsenstrasse 18;1
47.41345829990259, 9.354196635437718;"{""coordinates"": [9.354196635437718, 47.41345829990259], ""type"": ""Point""}";Oberstrasse / Ruhsitzstrasse;1
47.442348920570474, 9.392490755163223;"{""coordinates"": [9.392490755163223, 47.442348920570474], ""type"": ""Point""}";Kauffmannstrasse;1
47.4448144554197, 9.411965776573242;"{""coordinates"": [9.411965776573242, 47.4448144554197], ""type"": ""Point""}";Brauerstrasse 95;1
47.435593484707695, 9.41873456771328;"{""coordinates"": [9.41873456771328, 47.435593484707695], ""type"": ""Point""}";Vogelherdstrasse 9;1
47.43963020624739, 9.39488862537132;"{""coordinates"": [9.39488862537132, 47.43963020624739], ""type"": ""Point""}";Heiligkreuzstrasse / Lukaspärklein;1
47.41717818765846, 9.348608948393634;"{""coordinates"": [9.348608948393634, 47.41717818765846], ""type"": ""Point""}";Schibistrasse 5;1
47.403393109378776, 9.328986269967395;"{""coordinates"": [9.328986269967395, 47.403393109378776], ""type"": ""Point""}";Ramsenstrasse 9;1
47.42508111762434, 9.389377797499701;"{""coordinates"": [9.389377797499701, 47.42508111762434], ""type"": ""Point""}";Speicherstrasse / Dreilindenhang;1
47.43301713388898, 9.411539831352723;"{""coordinates"": [9.411539831352723, 47.43301713388898], ""type"": ""Point""}";Rehetobelstrasse ca. 69;1
47.43045767592614, 9.401631925497487;"{""coordinates"": [9.401631925497487, 47.43045767592614], ""type"": ""Point""}";Goldbrunnenstrasse 45;1
47.42965527857742, 9.399676308870088;"{""coordinates"": [9.399676308870088, 47.42965527857742], ""type"": ""Point""}";Hagenbuchstrasse/Goldbrunnenweg;1
47.42831823629741, 9.398249542173852;"{""coordinates"": [9.398249542173852, 47.42831823629741], ""type"": ""Point""}";Meienbergstrasse 40;1
47.42117319708507, 9.365903000105781;"{""coordinates"": [9.365903000105781, 47.42117319708507], ""type"": ""Point""}";Grünbergstrasse (Lokremise);1
47.413909801031714, 9.366511869458353;"{""coordinates"": [9.366511869458353, 47.413909801031714], ""type"": ""Point""}";Obere Berneggstrasse 70;1
47.41665162636206, 9.392467321315097;"{""coordinates"": [9.392467321315097, 47.41665162636206], ""type"": ""Point""}";Kammelenbergstrasse 30;1
47.40758567434592, 9.342103777072587;"{""coordinates"": [9.342103777072587, 47.40758567434592], ""type"": ""Point""}";Oberstrasse / Rosenbüchelstrasse 1a;1
47.413109304903585, 9.3644385640334;"{""coordinates"": [9.3644385640334, 47.413109304903585], ""type"": ""Point""}";Altmannstrasse 16;1
47.426174922297044, 9.359754276910358;"{""coordinates"": [9.359754276910358, 47.426174922297044], ""type"": ""Point""}";Sonnenbergstr./Messmerweg;1
47.41303735548317, 9.365380350910886;"{""coordinates"": [9.365380350910886, 47.41303735548317], ""type"": ""Point""}";Nestweiherstrasse 3;1
47.432444423184506, 9.39513507866668;"{""coordinates"": [9.39513507866668, 47.432444423184506], ""type"": ""Point""}";Helvetiastrasse 36;1
47.4022328394528, 9.300057005132695;"{""coordinates"": [9.300057005132695, 47.4022328394528], ""type"": ""Point""}";Mittelholzerstrasse 11;1
47.40146119762395, 9.299349736537385;"{""coordinates"": [9.299349736537385, 47.40146119762395], ""type"": ""Point""}";Lilienthalstrasse / Gsellstrasse;1
47.41261265254885, 9.355594724385572;"{""coordinates"": [9.355594724385572, 47.41261265254885], ""type"": ""Point""}";Langweidstrasse 6;1
47.40738864652001, 9.36885262638167;"{""coordinates"": [9.36885262638167, 47.40738864652001], ""type"": ""Point""}";Teufener Strasse 182a / Wattbachstrasse;1
47.43635846094789, 9.386508601976805;"{""coordinates"": [9.386508601976805, 47.43635846094789], ""type"": ""Point""}";Iddastrasse 16;1
47.4375137538883, 9.381525345537503;"{""coordinates"": [9.381525345537503, 47.4375137538883], ""type"": ""Point""}";Hölderlinstrasse 20;1
47.42537962093559, 9.359607955452363;"{""coordinates"": [9.359607955452363, 47.42537962093559], ""type"": ""Point""}";Schorenstrasse / Fichtetreppe;1
47.42292954690099, 9.360111014103088;"{""coordinates"": [9.360111014103088, 47.42292954690099], ""type"": ""Point""}";Dufourstrasse/Rötelistrasse 2;1
47.433034935304725, 9.402680383299916;"{""coordinates"": [9.402680383299916, 47.433034935304725], ""type"": ""Point""}";Rehetobelstrasse 32;1
47.40248096230631, 9.331248121963037;"{""coordinates"": [9.331248121963037, 47.40248096230631], ""type"": ""Point""}";Wolfgangstrasse 67;1
47.402327402686794, 9.33258698776197;"{""coordinates"": [9.33258698776197, 47.402327402686794], ""type"": ""Point""}";Wolfgangstrasse 75;1
47.41653770470267, 9.364606735874188;"{""coordinates"": [9.364606735874188, 47.41653770470267], ""type"": ""Point""}";Tschudistrasse 32;1
47.436499203501654, 9.411452508956947;"{""coordinates"": [9.411452508956947, 47.436499203501654], ""type"": ""Point""}";Martinsbruggstrasse 41;1
47.43653046301045, 9.410862291623694;"{""coordinates"": [9.410862291623694, 47.43653046301045], ""type"": ""Point""}";Martinsbruggstrasse 39;1
47.42794829520517, 9.371812969291481;"{""coordinates"": [9.371812969291481, 47.42794829520517], ""type"": ""Point""}";Dufourstrasse 70;1
47.43504605293027, 9.408626218525281;"{""coordinates"": [9.408626218525281, 47.43504605293027], ""type"": ""Point""}";Fuchsenstrasse 10;1
47.430109746505465, 9.39929203168025;"{""coordinates"": [9.39929203168025, 47.430109746505465], ""type"": ""Point""}";Hagenbuchstrasse 25;1
47.40643865728932, 9.313766521534843;"{""coordinates"": [9.313766521534843, 47.40643865728932], ""type"": ""Point""}";Sonnmattstrasse 19;1
47.42778435864693, 9.377945129143223;"{""coordinates"": [9.377945129143223, 47.42778435864693], ""type"": ""Point""}";Torstrasse / Brühlweg;1
47.409461900935945, 9.332539142048466;"{""coordinates"": [9.332539142048466, 47.409461900935945], ""type"": ""Point""}";Fürstenlandstrasse 179;1
47.40337070117997, 9.3382172776909;"{""coordinates"": [9.3382172776909, 47.40337070117997], ""type"": ""Point""}";Wolfgangstrasse 6;1
47.41102409038209, 9.339251078226521;"{""coordinates"": [9.339251078226521, 47.41102409038209], ""type"": ""Point""}";Fürstenlandstrasse 135;1
47.43019513342485, 9.383473543823197;"{""coordinates"": [9.383473543823197, 47.43019513342485], ""type"": ""Point""}";Bürglistrasse 11;1
47.43328985237711, 9.372044707807627;"{""coordinates"": [9.372044707807627, 47.43328985237711], ""type"": ""Point""}";Gatterstrasse 13;1
47.401461096630136, 9.300881448128838;"{""coordinates"": [9.300881448128838, 47.401461096630136], ""type"": ""Point""}";Herisauer Strasse 90;1
47.41651522378803, 9.356642326904245;"{""coordinates"": [9.356642326904245, 47.41651522378803], ""type"": ""Point""}";Turnerstrasse 10a;1
47.40506979283383, 9.3134401889615;"{""coordinates"": [9.3134401889615, 47.40506979283383], ""type"": ""Point""}";Kräzernstrasse 92;1
47.404164534916596, 9.316822549827265;"{""coordinates"": [9.316822549827265, 47.404164534916596], ""type"": ""Point""}";Sturzeneggstrasse 36;1
47.43444306244998, 9.400685394928535;"{""coordinates"": [9.400685394928535, 47.43444306244998], ""type"": ""Point""}";Brauerstrasse 15;1
47.41493510264762, 9.392286339349988;"{""coordinates"": [9.392286339349988, 47.41493510264762], ""type"": ""Point""}";Tetznerstrasse Wendeplatz;1
47.43378297153737, 9.393495604615683;"{""coordinates"": [9.393495604615683, 47.43378297153737], ""type"": ""Point""}";Werkstr. 3;1
47.43312518157803, 9.393473736755372;"{""coordinates"": [9.393473736755372, 47.43312518157803], ""type"": ""Point""}";Lindenstrasse 71;1
47.418703120419316, 9.350561352665798;"{""coordinates"": [9.350561352665798, 47.418703120419316], ""type"": ""Point""}";Föhrenstrasse 7;1
47.425090685396285, 9.379001731424552;"{""coordinates"": [9.379001731424552, 47.425090685396285], ""type"": ""Point""}";Glockengasse;1
47.41466495635745, 9.392300344337093;"{""coordinates"": [9.392300344337093, 47.41466495635745], ""type"": ""Point""}";St.Georgen-Strasse 169;1
47.411568114226604, 9.34277884560986;"{""coordinates"": [9.34277884560986, 47.411568114226604], ""type"": ""Point""}";Moosstrasse 29;1
47.40336271516751, 9.338194167387444;"{""coordinates"": [9.338194167387444, 47.40336271516751], ""type"": ""Point""}";Wolfgangstrasse 6;1
47.43265909403636, 9.397405828117801;"{""coordinates"": [9.397405828117801, 47.43265909403636], ""type"": ""Point""}";Sonneggstrasse 5;1
47.41735498559141, 9.359828283024415;"{""coordinates"": [9.359828283024415, 47.41735498559141], ""type"": ""Point""}";Ilgenstrasse 30;1
47.412847338528735, 9.350671202317548;"{""coordinates"": [9.350671202317548, 47.412847338528735], ""type"": ""Point""}";Ahornstrasse 62;1
47.418099068222105, 9.383403991761064;"{""coordinates"": [9.383403991761064, 47.418099068222105], ""type"": ""Point""}";Gotthelfstrasse 13;1
47.429070970430125, 9.391458239722837;"{""coordinates"": [9.391458239722837, 47.429070970430125], ""type"": ""Point""}";Steigerstr. / Schwanenstr. 12;1
47.42636432171395, 9.38432331262752;"{""coordinates"": [9.38432331262752, 47.42636432171395], ""type"": ""Point""}";Schwalbenstrasse;1
47.436182724488845, 9.402321132449009;"{""coordinates"": [9.402321132449009, 47.436182724488845], ""type"": ""Point""}";Parketteriestrasse 3;1
47.42225635184932, 9.377923360412412;"{""coordinates"": [9.377923360412412, 47.42225635184932], ""type"": ""Point""}";St.Georgen-Strasse 7;1
47.42907843011869, 9.396088872792745;"{""coordinates"": [9.396088872792745, 47.42907843011869], ""type"": ""Point""}";Flurhofstrasse 71;1
47.42651594190136, 9.385384823889625;"{""coordinates"": [9.385384823889625, 47.42651594190136], ""type"": ""Point""}";Konkordiastrasse 32;1
47.42582949223708, 9.385026732757234;"{""coordinates"": [9.385026732757234, 47.42582949223708], ""type"": ""Point""}";Linsebühlstrasse 97;1
47.42829528412991, 9.379538998055297;"{""coordinates"": [9.379538998055297, 47.42829528412991], ""type"": ""Point""}";Blumenaustrasse 26;1
47.43795521167329, 9.419518502648154;"{""coordinates"": [9.419518502648154, 47.43795521167329], ""type"": ""Point""}";Tablatstrasse 10;1
47.40615501600284, 9.33767268063571;"{""coordinates"": [9.33767268063571, 47.40615501600284], ""type"": ""Point""}";Haggenstrasse 58;1
47.40654456809769, 9.32550444880796;"{""coordinates"": [9.32550444880796, 47.40654456809769], ""type"": ""Point""}";Lehnstrasse 104;1
47.40873836585784, 9.362675728739537;"{""coordinates"": [9.362675728739537, 47.40873836585784], ""type"": ""Point""}";Oberhofstettenstrasse 36;1
47.4191151423618, 9.37183692512601;"{""coordinates"": [9.37183692512601, 47.4191151423618], ""type"": ""Point""}";Obere Felsenstrasse;1
47.4044971119826, 9.315745401880676;"{""coordinates"": [9.315745401880676, 47.4044971119826], ""type"": ""Point""}";Sturzeneggstrasse 26;1
47.41638284548733, 9.381495709333821;"{""coordinates"": [9.381495709333821, 47.41638284548733], ""type"": ""Point""}";Wiesenstrasse 49;1
47.42383696597704, 9.380393440847023;"{""coordinates"": [9.380393440847023, 47.42383696597704], ""type"": ""Point""}";Harfenbergstrasse 5;1
47.437964640853934, 9.392961504388527;"{""coordinates"": [9.392961504388527, 47.437964640853934], ""type"": ""Point""}";Kolosseumstrasse 28;1
47.436187882528785, 9.393563076630606;"{""coordinates"": [9.393563076630606, 47.436187882528785], ""type"": ""Point""}";Bucheggstrasse 10;1
47.436245248045644, 9.421980203095494;"{""coordinates"": [9.421980203095494, 47.436245248045644], ""type"": ""Point""}";Vogelherdstrasse Wendeplatz;1
47.40016358856711, 9.29677535197125;"{""coordinates"": [9.29677535197125, 47.40016358856711], ""type"": ""Point""}";Geigerstrasse 15;1
47.40628188306198, 9.335807212984697;"{""coordinates"": [9.335807212984697, 47.40628188306198], ""type"": ""Point""}";Boppartshofstrasse 2;1
47.41791093993768, 9.364942397575293;"{""coordinates"": [9.364942397575293, 47.41791093993768], ""type"": ""Point""}";Unterstrasse 58;1
47.41966499827017, 9.350594794308467;"{""coordinates"": [9.350594794308467, 47.41966499827017], ""type"": ""Point""}";Schönaustrasse, Gartenareal;1
47.436467026407485, 9.419017055710322;"{""coordinates"": [9.419017055710322, 47.436467026407485], ""type"": ""Point""}";Vogelherd / Tablatstrasse;1
47.41438449933575, 9.338002685294576;"{""coordinates"": [9.338002685294576, 47.41438449933575], ""type"": ""Point""}";Heimstrasse 4 / 6;1
47.44878696942526, 9.396484610697568;"{""coordinates"": [9.396484610697568, 47.44878696942526], ""type"": ""Point""}";Bruggwaldstrasse 60;1
47.42417211648204, 9.387081222194437;"{""coordinates"": [9.387081222194437, 47.42417211648204], ""type"": ""Point""}";Dreilindenhang 23;1
47.438516659735534, 9.378457223095209;"{""coordinates"": [9.378457223095209, 47.438516659735534], ""type"": ""Point""}";Berghaldenstrasse 4;1
47.41061735588379, 9.370088160928773;"{""coordinates"": [9.370088160928773, 47.41061735588379], ""type"": ""Point""}";Wattstrasse 19;1
47.421901255476854, 9.347718707000535;"{""coordinates"": [9.347718707000535, 47.421901255476854], ""type"": ""Point""}";Zwyssigstrasse 9;1
47.4174809398341, 9.355444834603706;"{""coordinates"": [9.355444834603706, 47.4174809398341], ""type"": ""Point""}";Turnerstrasse 26;1
47.440673734317734, 9.397488435262389;"{""coordinates"": [9.397488435262389, 47.440673734317734], ""type"": ""Point""}";Espentobelstrasse 5;1
47.442427077411615, 9.40543024132966;"{""coordinates"": [9.40543024132966, 47.442427077411615], ""type"": ""Point""}";Zilstrasse 20;1
47.41500992543419, 9.361626465718889;"{""coordinates"": [9.361626465718889, 47.41500992543419], ""type"": ""Point""}";Ruhbergstrasse 30;1
47.41482210606165, 9.365421723054189;"{""coordinates"": [9.365421723054189, 47.41482210606165], ""type"": ""Point""}";Fellenbergstrasse 67;1
47.43864464198577, 9.402181794950351;"{""coordinates"": [9.402181794950351, 47.43864464198577], ""type"": ""Point""}";Hüttenwiesstrasse / Kesselhaldenweg;1
47.42887008888056, 9.376222090408794;"{""coordinates"": [9.376222090408794, 47.42887008888056], ""type"": ""Point""}";Böcklinstrasse 5;1
47.42941974121531, 9.371986180263667;"{""coordinates"": [9.371986180263667, 47.42941974121531], ""type"": ""Point""}";Höhenweg 14;1
47.4234806563649, 9.385309004974852;"{""coordinates"": [9.385309004974852, 47.4234806563649], ""type"": ""Point""}";Dreilindenhang 22;1
47.40051998791733, 9.298238201018524;"{""coordinates"": [9.298238201018524, 47.40051998791733], ""type"": ""Point""}";Geigerstrasse 11;1
47.423034467257175, 9.341231272119499;"{""coordinates"": [9.341231272119499, 47.423034467257175], ""type"": ""Point""}";Schiltacker;1
47.45135817400877, 9.39772375468034;"{""coordinates"": [9.39772375468034, 47.45135817400877], ""type"": ""Point""}";Brugghalden 2;1
47.449939214596654, 9.387956342279862;"{""coordinates"": [9.387956342279862, 47.449939214596654], ""type"": ""Point""}";Kirchlistrasse 99;1
47.41348201303659, 9.333792007109018;"{""coordinates"": [9.333792007109018, 47.41348201303659], ""type"": ""Point""}";Ullmannstrasse 16;1
47.435059003795295, 9.404656602124287;"{""coordinates"": [9.404656602124287, 47.435059003795295], ""type"": ""Point""}";Grünaustrasse 12;1
47.43217198859215, 9.399830767090231;"{""coordinates"": [9.399830767090231, 47.43217198859215], ""type"": ""Point""}";Röschstrasse 9;1
47.415280337728014, 9.382579276010262;"{""coordinates"": [9.382579276010262, 47.415280337728014], ""type"": ""Point""}";Spiltrücklistrasse 1;1
47.421324976507044, 9.35587220896787;"{""coordinates"": [9.35587220896787, 47.421324976507044], ""type"": ""Point""}";Stahlstrasse 9;1
47.437794786082485, 9.391345192394004;"{""coordinates"": [9.391345192394004, 47.437794786082485], ""type"": ""Point""}";Kolumbanstrasse 29;1
47.42061730394659, 9.38015304085039;"{""coordinates"": [9.38015304085039, 47.42061730394659], ""type"": ""Point""}";Kronbergstrasse 8;1
47.439626036431, 9.380144515591619;"{""coordinates"": [9.380144515591619, 47.439626036431], ""type"": ""Point""}";Guisanstrasse 94;1
47.43746400503933, 9.392220420491597;"{""coordinates"": [9.392220420491597, 47.43746400503933], ""type"": ""Point""}";Kolosseumstrasse 18;1
47.434290014474726, 9.377601082539993;"{""coordinates"": [9.377601082539993, 47.434290014474726], ""type"": ""Point""}";Girtannerstrasse 9;1
47.44043221345244, 9.394007214758686;"{""coordinates"": [9.394007214758686, 47.44043221345244], ""type"": ""Point""}";Heiligkreuzstrasse 53;1
47.41501501270477, 9.35934816844601;"{""coordinates"": [9.35934816844601, 47.41501501270477], ""type"": ""Point""}";Güterbahnhofstr. 26;1
47.44334189321546, 9.411276806402618;"{""coordinates"": [9.411276806402618, 47.44334189321546], ""type"": ""Point""}";Zilstrasse 72;1
47.430674813028034, 9.377106664292638;"{""coordinates"": [9.377106664292638, 47.430674813028034], ""type"": ""Point""}";Dierauerstrasse 19;1
47.42501350253084, 9.374458538619963;"{""coordinates"": [9.374458538619963, 47.42501350253084], ""type"": ""Point""}";Neugasse-Durchbruch;1
47.40409135635367, 9.338400762600495;"{""coordinates"": [9.338400762600495, 47.40409135635367], ""type"": ""Point""}";Haggenstrasse 86;1
47.41973027166627, 9.37113280393384;"{""coordinates"": [9.37113280393384, 47.41973027166627], ""type"": ""Point""}";Wassergasse 53;1
47.4000095833488, 9.30142493865333;"{""coordinates"": [9.30142493865333, 47.4000095833488], ""type"": ""Point""}";Gübsenstrasse 90;1
47.40774180017456, 9.338722710325573;"{""coordinates"": [9.338722710325573, 47.40774180017456], ""type"": ""Point""}";Hechtackerstrasse 12;1
47.43180202945654, 9.409668459478596;"{""coordinates"": [9.409668459478596, 47.43180202945654], ""type"": ""Point""}";Achslenstrasse 32;1
47.405073663484316, 9.317487759760677;"{""coordinates"": [9.317487759760677, 47.405073663484316], ""type"": ""Point""}";Hofstrasse 1;1
47.40626748946363, 9.313073172251162;"{""coordinates"": [9.313073172251162, 47.40626748946363], ""type"": ""Point""}";Sonnmattstrasse 13;1
47.4425618989015, 9.410628869601515;"{""coordinates"": [9.410628869601515, 47.4425618989015], ""type"": ""Point""}";Brauerstrasse 79;1
47.406827429331486, 9.316467544438485;"{""coordinates"": [9.316467544438485, 47.406827429331486], ""type"": ""Point""}";Sonnmattstrasse 33;1
47.41396409365634, 9.346107306741954;"{""coordinates"": [9.346107306741954, 47.41396409365634], ""type"": ""Point""}";Ahornstrasse 23;1
47.4087337955551, 9.3413002244927;"{""coordinates"": [9.3413002244927, 47.4087337955551], ""type"": ""Point""}";Hechtackerstrasse 22;1
47.435237580450355, 9.401659176772613;"{""coordinates"": [9.401659176772613, 47.435237580450355], ""type"": ""Point""}";Brauerstrasse 21;1
47.43291066013373, 9.396063971936206;"{""coordinates"": [9.396063971936206, 47.43291066013373], ""type"": ""Point""}";Wiesentalstrasse 12;1
